title,rating,description,author
Cura dos Chakras Para Iniciantes: um Guia Prático e Moderno com Técnicas de Autocura Para Equilibrar os Seus Centros de Energia Sutil ,"4,7","Este livro mostra como aproveitar o poder dos chakras, com uma ampla gama de exercícios que qualquer pessoa, mesmo aquela que não tem familiaridade com o tema, poderá fazer. Por meio de técnicas simpl",['Margarita Alcantara']
"O Poder de Cura dos Chakras: Lições Práticas Para Usar Seus Centros de Energia Sutil Para o Bem-estar Emocional, Físico e Espiritual ","4,7","Este é um guia simples e moderno que explica como os chakras funcionam, revelando também como se beneficiar de suas energias curativas quando se encontram em pleno funcionamento. Esses meridianos de e","['Tori Hartman', 'Euclides Luiz Calloni']"
"O Pequeno Livro da Cura Vibracional e Energética: Práticas Simples Para Equilibrar a Saúde do Corpo, da Mente e do Espírito ","4,7","Uma introdução às tradições fundamentais da cura energética, com 70 práticas para curar seu corpo, sua mente e seu espírito, desbloqueando e equilibrando a energia que o capacita a viver em paz e com ","['Karen Frazier', 'Gilson César Cardoso de Sousa']"
Chakras — O guia clássico para o equilíbrio e a cura do sistema energético ,"4,8","Com mais de 300 mil cópias vendidas no mundo, esta obra é considerada a bíblia do Sistema dos Chakras.Em uma edição atualizada e ampliada, com uma abordagem bastante prática, inclui tópicos sobre rela","['Anodea Judith', 'Priscila Catão']"
"Cura Energética ― 5 Passos para limpar, desbloquear e proteger sua energia para atrair mais amor, alegria e propósito ","4,9","Seja, hoje, a sua melhor versão!Cura energética apresenta um programa de cinco passos para você superar as dissonâncias de sua vida e eliminar os bloqueios energéticos incapacitantes. Este livro reple","['Oliver Niño', 'Martha Argel']"
Reiki: Guia prático para a cura energética:+ de 100 tratamentos ,"4,8","Reiki: guia prático para a cura energética: + de 100 tratamentosCure Corpo, Mente e Alma com mais de 100 tratamentos do ReikiIndependentemente de em que ponto você estiver na sua caminhada de autocura","['Karen Frazier', 'Priscila Catão']"
"Reiki: O Guia para Iniciantes para Dominar a Antiga Arte da Cura Energética Natural: Reprogramação da Mente, Terapia Através das Mãos, Mudança Corporal, Nova Era, Chacras, Reiki para Iniciantes ","3,7","APRENDA:: Reiki: O Guia para Iniciantes para Dominar a Antiga Arte da Cura Energética Natural do Reiki (Reiki, Cura da Mente, Técnica de Reiki, Cura Corporal, Nova Era, Chakras, Reiki para Iniciantes,",['Steven Lawrence']
Reiki para todos: Energia vital em ação (edição de bolso): Energia vital em ação ,"4,6","ENERGIA VITAL EM AÇÃO Reiki é uma técnica de harmonização energética que utiliza a cura pelas mãos. Com simplicidade e eficácia, os praticantes transferem Energia Vital por meio das mãos, proporcionan","['Oriel Abarca', 'Roberto King']"
Cura dos chakras para iniciantes: Um guia prático para equilibrar seus centros de energia (Cura Energética) (Portuguese Edition) ,"5,0","Se estiver lutando contra o estresse, a falta de energia ou os desequilíbrios emocionais, este livro pode conter as respostas que você está procurando.Você já se sentiu desconectado de si mesmo ou dos",['Callie Parker']
"Alta Frequência Tro Han: Medicina Vibracional + Espiritualidade Quântica + Cura Xamânica + Reiki Usui I, 2 e 3 + Reiki Han Universal + Mudras + Magias (Teia Infinita da Expansão Humana) ","4,7","O mundo precisa de cura, consciência, expansão, de ferramentas de poder na luz.Dessa maneira essa formação em Alta Frequência Tro Han, trazida pelos canais Alexandre Wahbe e Gislaine Wahbe, através da","['Teia Infinita da Expansão Humana', 'Gislaine Wahbe', 'Alexandre  Wahbe']"
Cura Vibracional Através dos Chakras ,"4,8","O corpo humano é constituído de freqüências que formam um todo harmônico e equilibrado quando a pessoa está sã. Se, no entanto, ela se expõe a pressões físicas e emocionais, as vibrações do seu corpo ",['Joy Gardner']
Energia dos Chakras - Saúde e Autotransformação ,"4,8","As energias dos chakras que trazemos no perispírito são fundamentais para o nosso equilíbrio físico e mental. Dependendo da forma como nos movimentamos frente à vida, essas energias estarão inibidas, ",['Alírio De Cerqueira Filho']
"Energia dos Chakras e o Poder Terapêutico da Fé, da Meditação e da Oração ","4,5","Neste livro se inicia uma série sobre os chackas, aprofundando o entendimento sobre as virtudes atinentes a cada um deles, de modo a proporcionar aos estudiosos do psiquismo humano material que vise a",['Alírio De Cerqueira Filho']
"O Livro dos Chakras, da Energia e dos Corpos Sutis: Uma nova visão das tradições antigas e modernas sobre os nossos centros de energia ","4,7","Um guia prático para a compreensão dos chakras e da sua energia pessoal, com o objetivo de permitir que você tome consciência dessas energias que percorrem seu corpo e abra seus chakras para acessar u","['Joan P. Miller', 'Raquel Marinho', 'Audible Studios']"
"Reiki: Cura Física, Emocional, Mental e Espiritual ","4,1","O Reiki é uma arte milenar de harmonização e cura, utilizando a imposição das mãos, através dos chacras das palmas e mini chacras dos dedos.O Reiki promove o bem-estar físico, emocional, mental e espi",['Célia Félix de Sá']
Energia dos Chakras e o Poder Terapêutico da Gratidão ,"5,0","Este livro aborda um estudo dos chakras por um prisma moral, no qual o mais importante não são eles em si mesmos, mas as virtudes que geram a sua harmonia. Conhecê-las, para poder senti-las e vivenciá",['Alírio De Cerqueira Filho']
